City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,kirkuk,35.4681,44.3922,11.51,51,0,1.08,IQ,1674321652
220,evanston,42.0411,-87.6901,-0.53,80,100,4.63,US,1674321569
221,luderitz,-26.6481,15.1594,21.0,67,4,9.17,NA,1674321653
222,viramgam,23.1225,72.0484,16.25,41,0,3.71,IN,1674321653
223,sao joao da barra,-21.6403,-41.0511,24.05,76,99,4.42,BR,1674321653
224,marsa matruh,31.3525,27.2453,16.01,63,0,1.52,EG,1674321654
225,maarianhamina,60.0973,19.9348,-2.08,100,100,2.06,AX,1674321654
226,carndonagh,55.25,-7.2667,7.92,96,100,5.32,IE,1674321655
227,bay roberts,47.5999,-53.2648,1.3,97,100,9.83,CA,1674321655
228,malakal,9.5334,31.6605,29.84,19,74,2.55,SS,1674321655
229,saint-augustin,51.226,-58.6502,-6.27,61,75,3.83,CA,1674321656
230,cabedelo,-6.9811,-34.8339,30.37,64,43,4.81,BR,1674321468
231,sinnamary,5.3833,-52.95,25.52,89,79,5.77,GF,1674321656
232,contamana,-7.3333,-75.0167,29.64,52,90,2.66,PE,1674321657
233,nouakchott,18.0858,-15.9785,22.96,57,0,6.62,MR,1674321657
234,zhob,31.3411,69.4481,5.35,58,55,0.95,PK,1674321657
235,merauke,-8.4667,140.3333,25.39,90,100,5.12,ID,1674321658
236,atar,20.5169,-13.0499,28.51,13,0,4.23,MR,1674321658
237,poso,-1.3959,120.7524,27.97,73,100,1.2,ID,1674321658
238,grand-lahou,5.1367,-5.0242,28.51,71,94,4.85,CI,1674321659
239,ca mau,9.1769,105.15,24.03,84,86,2.26,VN,1674321659
240,beringovskiy,63.05,179.3167,-30.08,93,100,3.01,RU,1674321659
241,lhokseumawe,5.1801,97.1507,23.67,95,100,3.12,ID,1674321660
242,miram shah,33.0086,70.0697,6.62,59,26,2.4,PK,1674321660
243,cabatuan,10.8794,122.486,22.99,96,72,4.76,PH,1674321661
244,shakhtinsk,49.71,72.5872,-21.44,100,74,0.58,KZ,1674321661
245,kununurra,-15.7667,128.7333,27.99,83,100,1.54,AU,1674321661
246,kroya,-7.6331,109.2461,25.26,86,94,1.19,ID,1674321662
247,camacha,33.0833,-16.3333,16.68,77,40,4.12,PT,1674321662
248,minab,27.1467,57.0801,17.26,32,0,3.25,IR,1674321663
249,phibun mangsahan,15.2447,105.2291,18.99,64,72,2.99,TH,1674321663
250,gizo,-8.103,156.8419,27.5,76,95,2.91,SB,1674321664
251,naryan-mar,67.6713,53.087,-6.77,94,100,5.71,RU,1674321664
252,olafsvik,64.8945,-23.7142,1.75,74,100,8.63,IS,1674321665
253,vestmanna,62.1564,-7.1664,7.51,100,100,8.75,FO,1674321665
254,emporia,38.4039,-96.1817,3.06,80,100,2.06,US,1674321665
255,goderich,43.7501,-81.7165,-0.05,74,90,3.6,CA,1674321666
256,ostrovskoye,57.8057,42.2433,-5.12,92,100,2.65,RU,1674321666
257,bataipora,-22.2953,-53.2711,32.0,49,13,3.76,BR,1674321667
